NOM_SIGLA_UF_EMIT,NOM_SIGLA_UF_DEST,DSC_UF_EMIT,DSC_UF_DEST,NOM_SIGLA_REGIAO_EMIT,NOM_SIGLA_REGIAO_DEST,DSC_REGIAO_EMIT,DSC_REGIAO_DEST,SEGMENTO_ECONOMICO_EMIT,SEGMENTO_ECONOMICO_DEST,QTDE_NOTAS,TOTAL_VLR
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,COMERCIO ATACADISTA,455,1.4228238543115616E7
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,COMERCIO ATACADISTA,OUTROS SEGMENTOS,27,141879.62962055206
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,COMERCIO VAREJISTA,947,4.77838958640604E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,SERVICOS DE TRANSPORTE,1932,1.2876145679042816E8
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,,58,3400006.460000038
CE,MG,CEARA,MINAS GERAIS,NE,SE,Nordeste,Sudeste,COMERCIO VAREJISTA,COMERCIO ATACADISTA,79,1268117.2962903976
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,,282,1.4779158256721497E7
DF,CE,DISTRITO FEDERAL,CEARA,CO,NE,Centro-Oeste,Nordeste,,OUTROS SEGMENTOS,120,1272414.7290496826
RO,CE,RONDONIA,CEARA,N,NE,Norte,Nordeste,,COMERCIO VAREJISTA,340,2286483.976077318
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,INDUSTRIA,163,1477657.1990728378
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,INDUSTRIA,109,1065745.90770185
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,127,351773.17987060547
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,INDUSTRIA,INDUSTRIA,53,3721563.5581054688
CE,PB,CEARA,PARAIBA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,,263,1.0010121158100903E7
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,INDUSTRIA,216,5035623.034881592
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,,SERVICOS DE COMUNICACAO,86,1068896.7744674683
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,,,262,4177824.0881500244
CE,PI,CEARA,PIAUI,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,,140,2.8331819404580116E7
BA,CE,BAHIA,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,CONSTRUCAO CIVIL,126,1867671.734052658
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,,99,338162.40941238403
MA,CE,MARANHAO,CEARA,NE,NE,Nordeste,Nordeste,,,461,4037697.577601671
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,,,782,4368776.1043124795
MA,CE,MARANHAO,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,INDUSTRIA,156,1.1173923808600426E7
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,,45,2915430.0133895874
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,INDUSTRIA,66,757917.0518798828
MT,CE,MATO GROSSO,CEARA,CO,NE,Centro-Oeste,Nordeste,ENERGIA ELETRICA,COMERCIO VAREJISTA,7,154332.4404296875
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,COMBUSTIVEL,19,119916.23210144043
SE,CE,SERGIPE,CEARA,NE,NE,Nordeste,Nordeste,,COMBUSTIVEL,36,120679.36220550537
CE,RJ,CEARA,RIO DE JANEIRO,NE,SE,Nordeste,Sudeste,COMERCIO VAREJISTA,COMBUSTIVEL,3,1703.7200012207031
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,SERVICOS DE COMUNICACAO,29,95078.89938354492
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,COMBUSTIVEL,COMERCIO ATACADISTA,56,7050480.784667969
CE,MG,CEARA,MINAS GERAIS,NE,SE,Nordeste,Sudeste,PRODUTOR AGROPECUARIO,,40,903773.5184014421
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,COMERCIO ATACADISTA,COMERCIO ATACADISTA,213,3357050.6425064057
CE,MG,CEARA,MINAS GERAIS,NE,SE,Nordeste,Sudeste,COMERCIO VAREJISTA,INDUSTRIA,259,4233541.468996773
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,,40,809296.7125394344
CE,ES,CEARA,ESPIRITO SANTO,NE,SE,Nordeste,Sudeste,INDUSTRIA,PRODUTOR AGROPECUARIO,13,1412555.7503051758
AC,CE,ACRE,CEARA,N,NE,Norte,Nordeste,,SERVICOS DE TRANSPORTE,2,410.97000885009766
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,ENERGIA ELETRICA,12,885779.2817382812
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,,SERVICOS DE COMUNICACAO,71,262383.5489425659
CE,AP,CEARA,AMAPA,NE,N,Nordeste,Norte,PRODUTOR AGROPECUARIO,,115,898339.2707214355
CE,RO,CEARA,RONDONIA,NE,N,Nordeste,Norte,PRODUTOR AGROPECUARIO,,12,34097.2001953125
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,CONSTRUCAO CIVIL,5,15215.009826660156
